Bin,Value_km,ValMin_km,ValMax_km,ACM,ACN,Star,StarD,PL,PX,RB,Part,DebASAT,DebColl,Deb,Err,Total
0,202.5000,200.0000,205.0000,0,1,0,0,0,0,0,0,0,0,0,0,1
1,207.5000,205.0000,210.0000,0,0,0,0,0,0,0,0,0,0,0,0,0
2,212.5000,210.0000,215.0000,0,0,0,0,0,0,0,0,0,0,0,0,0
3,217.5000,215.0000,220.0000,0,0,0,0,0,0,0,0,0,0,0,0,0
4,222.5000,220.0000,225.0000,0,2,1,0,0,0,0,0,0,0,0,0,3
5,227.5000,225.0000,230.0000,0,0,2,0,0,0,0,0,0,0,0,0,2
6,232.5000,230.0000,235.0000,0,0,0,0,0,0,0,0,0,0,0,0,0
7,237.5000,235.0000,240.0000,0,2,2,0,0,0,0,0,0,0,0,0,4
8,242.5000,240.0000,245.0000,0,1,0,1,0,0,0,0,0,0,0,0,2
9,247.5000,245.0000,250.0000,0,0,2,0,0,0,0,0,0,0,0,0,2
10,252.5000,250.0000,255.0000,0,1,1,1,0,0,0,0,0,0,0,0,3
11,257.5000,255.0000,260.0000,0,1,0,0,0,0,0,0,0,0,1,0,2
12,262.5000,260.0000,265.0000,1,0,1,0,0,0,0,0,0,0,1,0,3
13,267.5000,265.0000,270.0000,0,0,0,0,0,0,0,0,0,0,0,0,0
14,272.5000,270.0000,275.0000,0,3,5,0,0,0,0,0,0,0,0,0,8
15,277.5000,275.0000,280.0000,1,0,17,0,0,0,0,0,0,1,0,0,19
16,282.5000,280.0000,285.0000,5,2,14,0,0,0,0,0,1,0,0,0,22
17,287.5000,285.0000,290.0000,14,1,0,1,2,0,0,0,0,1,0,0,19
18,292.5000,290.0000,295.0000,2,1,6,0,3,0,0,0,0,0,0,0,12
19,297.5000,295.0000,300.0000,11,0,2,0,1,0,1,0,0,0,0,0,15
20,302.5000,300.0000,305.0000,14,0,16,0,0,0,0,0,1,0,0,0,31
21,307.5000,305.0000,310.0000,3,3,11,1,0,0,0,0,0,0,0,0,18
22,312.5000,310.0000,315.0000,0,0,5,1,1,0,1,0,0,0,0,0,8
23,317.5000,315.0000,320.0000,1,4,20,0,1,0,0,0,0,0,0,0,26
24,322.5000,320.0000,325.0000,0,4,2,0,0,0,0,0,0,0,1,0,7
25,327.5000,325.0000,330.0000,0,2,29,0,0,0,0,0,0,0,0,0,31
26,332.5000,330.0000,335.0000,0,5,6,1,1,0,0,0,1,0,1,0,15
27,337.5000,335.0000,340.0000,0,4,30,0,2,0,0,0,0,0,0,0,36
28,342.5000,340.0000,345.0000,2,5,4,0,1,0,1,0,0,0,1,0,14
29,347.5000,345.0000,350.0000,2,6,29,0,2,0,1,0,0,0,3,0,43
30,352.5000,350.0000,355.0000,4,4,9,0,1,0,1,0,0,0,0,0,19
31,357.5000,355.0000,360.0000,0,3,628,0,0,0,0,0,0,0,0,0,631
32,362.5000,360.0000,365.0000,0,10,5,1,1,0,1,0,0,0,2,0,20
33,367.5000,365.0000,370.0000,2,14,4,0,3,0,2,1,0,1,0,0,27
34,372.5000,370.0000,375.0000,0,14,29,0,0,1,0,0,2,0,1,0,47
35,377.5000,375.0000,380.0000,1,2,6,0,2,0,2,1,0,0,1,0,15
36,382.5000,380.0000,385.0000,0,7,2,0,1,1,5,0,0,0,2,0,18
37,387.5000,385.0000,390.0000,0,7,4,1,4,0,1,0,0,1,2,0,20
38,392.5000,390.0000,395.0000,3,8,3,0,2,0,2,0,2,0,1,0,21
39,397.5000,395.0000,400.0000,3,10,4,1,2,1,1,1,1,0,0,0,24
40,402.5000,400.0000,405.0000,2,5,4,0,2,0,1,1,1,0,1,0,17
41,407.5000,405.0000,410.0000,4,10,5,0,3,0,1,0,0,1,3,0,27
42,412.5000,410.0000,415.0000,3,8,2,0,1,0,0,2,1,0,1,0,18
43,417.5000,415.0000,420.0000,2,10,20,0,1,0,0,0,3,1,2,0,39
44,422.5000,420.0000,425.0000,4,17,6,0,2,0,2,0,0,0,0,0,31
45,427.5000,425.0000,430.0000,4,10,9,2,3,0,3,1,0,0,1,0,33
46,432.5000,430.0000,435.0000,4,32,8,0,6,0,5,1,2,0,1,0,59
47,437.5000,435.0000,440.0000,5,28,87,0,4,0,2,1,1,0,4,0,132
48,442.5000,440.0000,445.0000,9,22,22,0,3,0,4,1,0,0,1,0,62
49,447.5000,445.0000,450.0000,8,28,332,2,6,1,3,0,1,1,1,0,383
50,452.5000,450.0000,455.0000,16,48,7,0,3,0,1,2,0,1,6,0,84
51,457.5000,455.0000,460.0000,38,46,8,0,5,1,3,0,1,0,2,0,104
52,462.5000,460.0000,465.0000,20,27,4,0,5,1,5,2,0,2,2,0,68
53,467.5000,465.0000,470.0000,7,29,15,0,4,0,7,2,1,0,3,0,68
54,472.5000,470.0000,475.0000,7,30,296,0,4,0,3,1,1,1,5,0,348
55,477.5000,475.0000,480.0000,22,66,712,1,1,0,9,4,1,1,4,0,821
56,482.5000,480.0000,485.0000,24,32,1337,0,9,0,2,4,0,0,8,0,1416
57,487.5000,485.0000,490.0000,13,50,57,0,10,0,4,3,2,0,2,0,141
58,492.5000,490.0000,495.0000,22,46,8,1,8,0,3,0,3,1,3,0,95
59,497.5000,495.0000,500.0000,17,103,8,1,10,0,5,0,2,3,2,0,151
60,502.5000,500.0000,505.0000,23,86,13,0,5,0,4,1,0,4,4,0,140
61,507.5000,505.0000,510.0000,23,60,7,0,9,0,6,4,3,3,3,0,118
62,512.5000,510.0000,515.0000,19,74,11,0,9,0,7,3,1,3,8,0,135
63,517.5000,515.0000,520.0000,19,30,4,0,8,0,0,3,1,1,1,0,67
64,522.5000,520.0000,525.0000,4,33,7,0,5,0,4,2,0,2,8,0,65
65,527.5000,525.0000,530.0000,9,29,1,0,15,0,2,4,3,0,2,0,65
66,532.5000,530.0000,535.0000,2,20,5,0,6,0,4,1,1,1,8,0,48
67,537.5000,535.0000,540.0000,4,25,1409,0,6,0,3,5,3,4,12,0,1471
68,542.5000,540.0000,545.0000,2,23,4,0,6,0,4,8,5,1,7,0,60
69,547.5000,545.0000,550.0000,3,17,782,0,8,0,5,4,2,9,8,0,838
70,552.5000,550.0000,555.0000,5,12,5,1,15,0,2,12,3,2,5,0,62
71,557.5000,555.0000,560.0000,3,12,1292,0,11,0,4,7,3,5,10,0,1347
72,562.5000,560.0000,565.0000,6,20,216,0,10,0,7,4,1,4,15,0,283
73,567.5000,565.0000,570.0000,34,16,15,0,13,0,3,5,5,6,8,0,105
74,572.5000,570.0000,575.0000,11,13,453,0,4,0,2,3,6,7,10,0,509
75,577.5000,575.0000,580.0000,136,22,0,0,6,0,3,4,2,7,10,0,190
76,582.5000,580.0000,585.0000,6,28,0,0,10,1,4,6,7,3,13,0,78
77,587.5000,585.0000,590.0000,9,43,0,0,9,0,4,4,3,4,9,0,85
78,592.5000,590.0000,595.0000,12,46,0,0,7,0,3,6,2,4,9,0,89
79,597.5000,595.0000,600.0000,7,11,0,0,8,0,6,8,3,3,15,0,61
80,602.5000,600.0000,605.0000,7,5,0,0,9,1,1,2,8,7,12,0,52
81,607.5000,605.0000,610.0000,1,8,0,0,7,1,13,4,7,6,14,0,61
82,612.5000,610.0000,615.0000,8,5,0,0,5,0,35,5,6,5,16,0,85
83,617.5000,615.0000,620.0000,2,4,0,0,13,1,5,10,9,5,16,0,65
84,622.5000,620.0000,625.0000,8,12,0,0,19,0,6,4,3,2,17,0,71
85,627.5000,625.0000,630.0000,12,10,0,0,12,0,8,5,7,3,19,0,76
86,632.5000,630.0000,635.0000,4,8,0,0,9,0,5,6,4,9,23,0,68
87,637.5000,635.0000,640.0000,8,5,0,0,8,0,1,4,8,8,23,0,65
88,642.5000,640.0000,645.0000,5,6,0,0,6,0,3,7,8,13,20,0,68
89,647.5000,645.0000,650.0000,1,8,0,0,14,0,2,5,9,13,24,0,76
90,652.5000,650.0000,655.0000,5,20,0,0,5,0,3,6,6,16,28,0,89
91,657.5000,655.0000,660.0000,2,6,0,0,10,0,4,7,11,12,23,0,75
92,662.5000,660.0000,665.0000,6,0,0,0,7,0,3,7,12,11,26,0,72
93,667.5000,665.0000,670.0000,4,8,0,0,7,0,4,1,8,14,29,0,75
94,672.5000,670.0000,675.0000,0,3,0,0,5,0,2,2,10,15,42,0,79
95,677.5000,675.0000,680.0000,7,2,0,0,10,0,2,8,11,16,39,0,95
96,682.5000,680.0000,685.0000,3,9,0,0,13,0,9,6,10,13,39,0,102
97,687.5000,685.0000,690.0000,3,8,0,0,4,0,2,6,9,11,40,0,83
98,692.5000,690.0000,695.0000,3,11,0,0,10,0,1,10,17,16,40,0,108
99,697.5000,695.0000,700.0000,18,8,0,0,7,0,1,7,11,19,43,0,114
100,702.5000,700.0000,705.0000,6,5,0,0,3,0,8,4,15,27,46,0,114
101,707.5000,705.0000,710.0000,0,0,0,0,13,0,3,4,24,11,43,0,98
102,712.5000,710.0000,715.0000,1,1,0,0,4,0,3,8,23,17,51,0,108
103,717.5000,715.0000,720.0000,0,2,0,0,7,0,6,8,14,9,53,0,99
104,722.5000,720.0000,725.0000,0,3,0,0,3,0,4,8,20,15,46,0,99
105,727.5000,725.0000,730.0000,0,1,0,0,5,0,1,16,13,27,57,0,120
106,732.5000,730.0000,735.0000,0,1,0,0,6,0,8,6,28,21,44,0,114
107,737.5000,735.0000,740.0000,2,7,0,0,9,0,1,9,21,18,49,0,116
108,742.5000,740.0000,745.0000,0,4,0,0,5,0,9,5,19,15,47,0,104
109,747.5000,745.0000,750.0000,7,2,0,0,3,0,9,12,31,15,46,0,125
110,752.5000,750.0000,755.0000,4,3,0,0,7,0,5,5,27,30,71,0,152
111,757.5000,755.0000,760.0000,1,4,0,0,7,0,12,6,32,19,61,0,142
112,762.5000,760.0000,765.0000,1,6,0,0,13,0,20,8,32,18,69,0,167
113,767.5000,765.0000,770.0000,1,8,0,0,27,0,15,9,30,24,62,0,176
114,772.5000,770.0000,775.0000,2,6,0,0,19,0,5,6,37,17,40,0,132
115,777.5000,775.0000,780.0000,67,6,0,0,29,0,7,7,34,19,114,0,283
116,782.5000,780.0000,785.0000,5,1,0,0,14,0,6,8,32,13,64,0,143
117,787.5000,785.0000,790.0000,2,8,0,0,18,0,6,9,40,6,63,0,152
118,792.5000,790.0000,795.0000,0,6,0,0,14,0,5,8,23,4,64,0,124
119,797.5000,795.0000,800.0000,12,2,0,0,9,0,5,7,45,5,74,0,159
120,802.5000,800.0000,805.0000,4,2,0,0,8,0,9,9,40,6,63,0,141
121,807.5000,805.0000,810.0000,0,3,0,0,12,0,5,8,49,9,79,0,165
